,VehId,Engine Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight
0,2,ICE,Car,4-FI 2.0L T/C,NO DATA,NO DATA,3500
1,5,HEV,Car,4-GAS/ELECTRIC 2.0L,NO DATA,NO DATA,3500
2,7,ICE,SUV,6-FI 3.6L,AUTOMATIC,NO DATA,4500
3,8,ICE,Car,4-FI 1.5L,5-SP MANUAL,NO DATA,2500
4,12,ICE,Car,4-FI 1.8L,NO DATA,NO DATA,2500
5,108,ICE,NO DATA,8-4V/FI 6.0L,6-SP AUTOMATIC,NO DATA,6000
6,110,ICE,NO DATA,6-FI 3.6L,NO DATA,NO DATA,4500
7,115,HEV,NO DATA,4-GAS/ELECTRIC 2.5L,NO DATA,NO DATA,3500
8,116,ICE,NO DATA,10-FI 6.8L,NO DATA,NO DATA,NO DATA
9,119,ICE,NO DATA,8-DSL 6.7L T/C,NO DATA,NO DATA,6500
10,120,ICE,NO DATA,8-4V/FI 6.0L,NO DATA,NO DATA,6000
11,123,ICE,NO DATA,4-FI 1.8L,5-SP AUTOMATIC,NO DATA,2500
12,124,HEV,NO DATA,4-GAS/ELECTRIC 1.8L,NO DATA,NO DATA,3000
13,125,HEV,NO DATA,4-GAS/ELECTRIC 2.4L,NO DATA,NO DATA,3500
14,126,ICE,NO DATA,8-FI 4.7L,NO DATA,NO DATA,4000
15,128,ICE,NO DATA,6-FI 3.4L,NO DATA,NO DATA,3500
16,129,ICE,NO DATA,4-FI 2.4L,NO DATA,NO DATA,4000
17,130,ICE,NO DATA,4-FI 2.4L,CVT,NO DATA,3500
18,131,ICE,NO DATA,8-FI 5.3L ,NO DATA,NO DATA,5500
19,132,ICE,NO DATA,6-FI 3.5L,NO DATA,NO DATA,3500
20,133,ICE,NO DATA,4-FI 2.4L,5-SP AUTOMATIC,NO DATA,3500
21,135,ICE,NO DATA,4-FI 2.5L,NO DATA,NO DATA,3500
22,137,ICE,NO DATA,4-FI 2.0L,NO DATA,NO DATA,3000
